year,country,broadcaster,artist,artistWikiUrl,song,songWikiUrl,language,songwriters,conductors,youtube_url
1988,gr,ERT,Afroditi Fryda,https://en.wikipedia.org/wiki/Afroditi_Frida,"Clown"" (Κλόουν)",,Greek,Dimitris Sakislis,Haris Andreadis,HfUAlWFF8Rg
1988,is,RÚV,Beathoven,,Sókrates,,Icelandic,Sverrir Stormsker,No conductor,IgpAVZ-0EV4
1988,ie,RTÉ,Jump the Gun,https://en.wikipedia.org/wiki/Jump_the_Gun_(band),Take Him Home,,English,Peter Eades,Noel Kelehan,dMXggK8o3fA
1988,il,IBA,Yardena Arazi,https://en.wikipedia.org/wiki/Yardena_Arazi,"Ben Adam"" (בן אדם)",,Hebrew,Boris Dimitshtein|Ehud Manor,Eldad Shrem,aCF07NS6P5I
1988,it,RAI,Luca Barbarossa,https://en.wikipedia.org/wiki/Luca_Barbarossa,Ti scrivo,,Italian,Luca Barbarossa,No conductor,R9WeTphAYQE
1988,lu,CLT,Lara Fabian,https://en.wikipedia.org/wiki/Lara_Fabian,Croire,https://en.wikipedia.org/wiki/Croire,French,Jacques Cardona|Alain Garcia,Régis Dupré,VHikWD-RY2Y
1988,nl,NOS,Gerard Joling,https://en.wikipedia.org/wiki/Gerard_Joling,Shangri-La,,Dutch,Peter de Wijn,Harry van Hoof,2cWqCYJbzOQ
1988,no,NRK,Karoline Krüger,https://en.wikipedia.org/wiki/Karoline_Kr%C3%BCger,For vår jord,,Norwegian,Erik Hillestad|Anita Skorgan,Arild Stav,XLHA8jaFX7M
1988,pt,RTP,Dora,https://en.wikipedia.org/wiki/Dora_(singer),Voltarei,,Portuguese,José Calvário|José Niza,José Calvário,kZXzQtytpIU
1988,es,TVE,La Década,https://en.wikipedia.org/wiki/La_D%C3%A9cada_Prodigiosa,La chica que yo quiero (Made in Spain),,Spanish,Francisco Dondiego|Enrique Piero,Javier de Juan,vl4OK6LLkY8
1988,se,SVT,Tommy Körberg,https://en.wikipedia.org/wiki/Tommy_K%C3%B6rberg,Stad i ljus,,Swedish,Py Bäckman,Anders Berglund,UxFkbcFhP50
1988,ch,SRG SSR,Céline Dion,https://en.wikipedia.org/wiki/Celine_Dion,Ne partez pas sans moi,https://en.wikipedia.org/wiki/Ne_partez_pas_sans_moi,French,Nella Martinetti|Atilla Şereftuğ,Atilla Şereftuğ,VXLWfXmlXPc
1988,tr,TRT,MFÖ,https://en.wikipedia.org/wiki/MF%C3%96,Sufi (Hey Ya Hey),,Turkish,Mazhar Alanson|Fuat Güner|Özkan Uğur,Turhan Yükseler,0Cg3bBVIz_Y
1988,gb,BBC,Scott Fitzgerald,https://en.wikipedia.org/wiki/Scott_Fitzgerald_(singer),Go,https://en.wikipedia.org/wiki/Go_(Scott_Fitzgerald_song),English,Julie Forsyth,Ronnie Hazlehurst,F09DJR9iiHY
1988,yu,JRT,Srebrna krila,https://en.wikipedia.org/wiki/Srebrna_krila,"Mangup"" (Мангуп)",,Serbo-Croatian,Stevo Cvikić|Rajko Dujmić,Nikica Kalogjera,mPnRNwH_uSs
1989,at,ORF,Thomas Forstner,https://en.wikipedia.org/wiki/Thomas_Forstner,Nur ein Lied,,German,Dieter Bohlen|Joachim Horn-Bernges,No conductor,IsAUqpXiw58
