year,round,country,votingCountry,voteType,points
1957,f,be,ch,t,1
1957,f,be,dk,t,2
1957,f,be,de,t,2
1957,f,lu,at,t,3
1957,f,lu,it,t,4
1957,f,lu,gb,t,1
1957,f,gb,ch,t,2
1957,f,gb,nl,t,1
1957,f,gb,at,t,1
1957,f,gb,lu,t,1
1957,f,gb,be,t,1
1957,f,it,dk,t,1
1957,f,it,nl,t,2
1957,f,it,gb,t,2
1957,f,it,lu,t,1
1957,f,it,be,t,1
1957,f,at,nl,t,1
1957,f,at,gb,t,2
1957,f,nl,ch,t,7
1957,f,nl,dk,t,3
1957,f,nl,fr,t,4
1957,f,nl,de,t,1
1957,f,nl,at,t,6
1957,f,nl,it,t,1
1957,f,nl,gb,t,1
1957,f,nl,lu,t,3
1957,f,nl,be,t,5
1957,f,de,fr,t,6
1957,f,de,it,t,1
1957,f,de,be,t,1
1957,f,fr,dk,t,2
1957,f,fr,de,t,6
1957,f,fr,nl,t,1
1957,f,fr,gb,t,2
1957,f,fr,lu,t,4
1957,f,fr,be,t,2
1957,f,dk,nl,t,5
1957,f,dk,it,t,3
1957,f,dk,gb,t,2
1957,f,ch,dk,t,2
1957,f,ch,de,t,1
1957,f,ch,it,t,1
1957,f,ch,lu,t,1
1958,f,it,ch,t,1
1958,f,it,at,t,1
1958,f,it,de,t,4
1958,f,it,be,t,4
1958,f,it,se,t,1
1958,f,it,fr,t,1
1958,f,it,nl,t,1
1958,f,nl,ch,t,1
1958,f,fr,ch,t,1
1958,f,fr,at,t,7
1958,f,fr,de,t,1
1958,f,fr,be,t,1
1958,f,fr,dk,t,9
1958,f,fr,se,t,1
1958,f,fr,lu,t,1
1958,f,fr,it,t,6
1958,f,lu,ch,t,1
1958,f,se,ch,t,3
1958,f,se,at,t,1
1958,f,se,be,t,1
1958,f,se,lu,t,3
1958,f,se,nl,t,2
1958,f,dk,se,t,1
1958,f,dk,fr,t,1
1958,f,dk,nl,t,1
1958,f,be,ch,t,1
1958,f,be,de,t,5
1958,f,be,dk,t,1
1958,f,be,se,t,1
1958,f,de,at,t,1
1958,f,de,be,t,1
1958,f,de,se,t,1
1958,f,de,fr,t,2
1958,f,at,ch,t,2
1958,f,at,be,t,1
1958,f,at,se,t,1
1958,f,at,lu,t,1
1958,f,at,fr,t,3
1958,f,ch,be,t,2
1958,f,ch,se,t,4
1958,f,ch,lu,t,5
1958,f,ch,fr,t,3
1958,f,ch,nl,t,6
1958,f,ch,it,t,4
1959,f,fr,be,t,2
1959,f,fr,at,t,1
1959,f,fr,ch,t,1
1959,f,fr,de,t,4
1959,f,fr,mc,t,2
1959,f,fr,it,t,1
1959,f,fr,dk,t,4
1959,f,dk,gb,t,2
1959,f,dk,at,t,2
1959,f,dk,ch,t,1
1959,f,dk,se,t,4
1959,f,dk,nl,t,1
1959,f,dk,mc,t,1
1959,f,dk,it,t,1
1959,f,it,be,t,1
1959,f,it,ch,t,3
1959,f,it,se,t,1
1959,f,it,mc,t,1
1959,f,it,fr,t,3
1959,f,mc,at,t,1
1959,f,nl,be,t,3
1959,f,nl,gb,t,1
1959,f,nl,at,t,3
1959,f,nl,de,t,2
1959,f,nl,mc,t,1
1959,f,nl,it,t,7
1959,f,nl,fr,t,4
1959,f,de,be,t,1
1959,f,de,ch,t,1
1959,f,de,it,t,1
1959,f,de,fr,t,2
1959,f,se,nl,t,3
1959,f,se,dk,t,1
1959,f,ch,be,t,1
1959,f,ch,gb,t,5
1959,f,ch,at,t,1
1959,f,ch,se,t,3
1959,f,ch,de,t,1
1959,f,ch,mc,t,1
1959,f,ch,dk,t,2
1959,f,at,ch,t,1
1959,f,at,se,t,2
1959,f,at,mc,t,1
1959,f,gb,be,t,2
1959,f,gb,at,t,2
1959,f,gb,ch,t,3
1959,f,gb,nl,t,5
1959,f,gb,mc,t,2
1959,f,gb,dk,t,1
1959,f,gb,fr,t,1
1959,f,be,gb,t,2
1959,f,be,de,t,3
1959,f,be,nl,t,1
1959,f,be,mc,t,1
1959,f,be,dk,t,2
1960,f,gb,it,t,2
1960,f,gb,de,t,1
1960,f,gb,nl,t,5
1960,f,gb,ch,t,4
1960,f,gb,mc,t,1
1960,f,gb,at,t,3
1960,f,gb,no,t,2
1960,f,gb,be,t,1
1960,f,gb,lu,t,5
1960,f,gb,se,t,1
1960,f,se,fr,t,2
1960,f,se,it,t,1
1960,f,se,nl,t,1
1960,f,lu,it,t,1
1960,f,dk,no,t,2
1960,f,dk,lu,t,1
1960,f,dk,gb,t,1
1960,f,be,it,t,3
1960,f,be,de,t,1
1960,f,be,at,t,1
1960,f,be,se,t,4
1960,f,no,fr,t,1
1960,f,no,nl,t,1
1960,f,no,ch,t,4
1960,f,no,at,t,1
1960,f,no,be,t,1
1960,f,no,dk,t,2
1960,f,no,gb,t,1
1960,f,at,it,t,1
1960,f,at,be,t,1
1960,f,at,dk,t,2
1960,f,at,gb,t,2
1960,f,mc,fr,t,3
1960,f,mc,de,t,7
1960,f,mc,ch,t,1
1960,f,mc,dk,t,2
1960,f,mc,lu,t,1
1960,f,mc,gb,t,1
1960,f,ch,it,t,1
1960,f,ch,at,t,2
1960,f,ch,no,t,1
1960,f,ch,lu,t,1
1960,f,nl,it,t,1
1960,f,nl,be,t,1
1960,f,de,fr,t,4
1960,f,de,mc,t,2
1960,f,de,at,t,2
1960,f,de,be,t,2
1960,f,de,se,t,1
1960,f,it,nl,t,1
1960,f,it,mc,t,2
1960,f,it,be,t,1
1960,f,it,lu,t,1
1960,f,fr,de,t,1
1960,f,fr,nl,t,2
1960,f,fr,ch,t,1
1960,f,fr,mc,t,5
1960,f,fr,at,t,1
1960,f,fr,no,t,5
1960,f,fr,be,t,3
1960,f,fr,dk,t,4
1960,f,fr,lu,t,1
1960,f,fr,se,t,4
1960,f,fr,gb,t,5
1961,f,es,gb,t,1
1961,f,es,no,t,2
1961,f,es,fr,t,2
1961,f,es,se,t,1
1961,f,es,nl,t,1
1961,f,es,mc,t,1
1961,f,mc,gb,t,1
1961,f,mc,ch,t,1
1961,f,mc,fi,t,3
1961,f,mc,es,t,1
1961,f,at,gb,t,1
1961,f,fi,it,t,2
1961,f,fi,gb,t,2
1961,f,fi,dk,t,1
1961,f,fi,fr,t,1
1961,f,yu,gb,t,1
1961,f,yu,dk,t,1
1961,f,yu,ch,t,1
1961,f,yu,fr,t,2
1961,f,yu,nl,t,1
1961,f,yu,at,t,3
1961,f,nl,it,t,2
1961,f,nl,fr,t,1
1961,f,nl,de,t,1
1961,f,nl,yu,t,2
1961,f,se,fr,t,2
1961,f,de,dk,t,1
1961,f,de,se,t,1
1961,f,de,at,t,1
1961,f,fr,gb,t,2
1961,f,fr,lu,t,1
1961,f,fr,de,t,4
1961,f,fr,se,t,1
1961,f,fr,fi,t,1
1961,f,fr,mc,t,2
1961,f,fr,es,t,2
1961,f,ch,it,t,2
1961,f,ch,gb,t,2
1961,f,ch,se,t,4
1961,f,ch,nl,t,2
1961,f,ch,yu,t,1
1961,f,ch,at,t,2
1961,f,ch,mc,t,2
1961,f,ch,es,t,1
1961,f,be,lu,t,1
